Date,Consumption
2006-01-01,1069.1840000000002
2006-01-02,1380.5210000000006
2006-01-03,1442.533
2006-01-04,1457.217
2006-01-05,1477.131
2006-01-06,1403.4270000000001
2006-01-07,1300.2870000000005
2006-01-08,1207.9849999999994
2006-01-09,1529.3229999999994
2006-01-10,1576.911
2006-01-11,1577.1759999999995
2006-01-12,1553.28
2006-01-13,1545.0019999999995
2006-01-14,1359.945
2006-01-15,1265.475
2006-01-16,1563.7379999999996
2006-01-17,1598.3029999999999
2006-01-18,1572.9840000000006
2006-01-19,1558.29
2006-01-20,1540.6039999999994
2006-01-21,1348.188
2006-01-22,1248.111
2006-01-23,1569.691
2006-01-24,1603.2520000000006
2006-01-25,1613.3119999999994
2006-01-26,1601.6729999999993
2006-01-27,1586.0649999999994
2006-01-28,1373.0300000000002
2006-01-29,1252.2149999999995
2006-01-30,1554.7219999999998
2006-01-31,1575.1290000000006
2006-02-01,1582.1340000000002
2006-02-02,1595.7169999999994
2006-02-03,1577.786
2006-02-04,1366.3220000000001
2006-02-05,1258.013
2006-02-06,1557.5250000000005
2006-02-07,1606.6669999999995
2006-02-08,1590.8960000000006
2006-02-09,1599.129
2006-02-10,1554.631
2006-02-11,1346.1040000000005
2006-02-12,1232.568
2006-02-13,1521.4560000000001
2006-02-14,1551.3730000000005
2006-02-15,1562.656
2006-02-16,1523.7190000000005
2006-02-17,1495.9129999999998
2006-02-18,1297.3850000000002
2006-02-19,1173.0500000000004
2006-02-20,1501.246
2006-02-21,1544.112
2006-02-22,1543.1070000000002
2006-02-23,1523.4910000000002
2006-02-24,1507.2350000000006
2006-02-25,1309.603
2006-02-26,1204.7659999999996
2006-02-27,1444.899
2006-02-28,1507.4899999999998
2006-03-01,1531.1729999999998
2006-03-02,1539.9510000000002
2006-03-03,1510.8839999999998
2006-03-04,1323.303
2006-03-05,1220.395
2006-03-06,1502.1910000000007
2006-03-07,1514.0119999999995
2006-03-08,1545.8339999999996
2006-03-09,1498.4439999999993
2006-03-10,1475.3270000000002
2006-03-11,1320.3680000000004
2006-03-12,1218.4070000000004
2006-03-13,1494.832
2006-03-14,1514.066
2006-03-15,1518.04
2006-03-16,1516.898
2006-03-17,1495.3239999999996
2006-03-18,1280.717
2006-03-19,1160.078
2006-03-20,1446.2379999999996
2006-03-21,1470.34
2006-03-22,1471.6670000000001
2006-03-23,1456.0159999999994
2006-03-24,1444.75
2006-03-25,1231.0670000000002
2006-03-26,1116.743
2006-03-27,1400.9820000000002
2006-03-28,1435.1520000000005
2006-03-29,1438.405
2006-03-30,1457.454
2006-03-31,1429.0659999999998
2006-04-01,1207.7690000000002
2006-04-02,1110.0260000000003
2006-04-03,1422.7889999999998
2006-04-04,1436.6990000000005
2006-04-05,1447.7979999999998
2006-04-06,1432.8529999999994
2006-04-07,1394.9799999999998
2006-04-08,1195.9589999999996
2006-04-09,1104.106
2006-04-10,1408.1689999999994
2006-04-11,1419.3009999999995
2006-04-12,1425.7119999999998
2006-04-13,1415.542
2006-04-14,1118.3960000000004
2006-04-15,1086.018
2006-04-16,986.875
2006-04-17,1009.0939999999999
2006-04-18,1349.563
2006-04-19,1368.456
2006-04-20,1362.217
2006-04-21,1333.266
2006-04-22,1152.9429999999998
2006-04-23,1042.414
2006-04-24,1345.851
2006-04-25,1359.8059999999996
2006-04-26,1374.3220000000001
2006-04-27,1384.681
2006-04-28,1362.57
2006-04-29,1167.24
2006-04-30,1026.352
2006-05-01,986.698
2006-05-02,1329.8210000000004
2006-05-03,1348.1879999999999
2006-05-04,1348.3429999999996
2006-05-05,1330.5199999999998
2006-05-06,1115.442
2006-05-07,998.308
2006-05-08,1321.7820000000004
2006-05-09,1353.2289999999996
2006-05-10,1351.4
2006-05-11,1337.5020000000004
2006-05-12,1320.006
2006-05-13,1123.9260000000004
2006-05-14,1010.284
2006-05-15,1317.8490000000004
2006-05-16,1360.65
2006-05-17,1346.0980000000004
2006-05-18,1365.406
2006-05-19,1348.465
2006-05-20,1175.2729999999995
2006-05-21,1050.17
2006-05-22,1358.082
2006-05-23,1374.495
2006-05-24,1339.5649999999996
2006-05-25,1053.351
2006-05-26,1213.465
2006-05-27,1108.266
2006-05-28,1065.343
2006-05-29,1349.2470000000005
2006-05-30,1376.794
2006-05-31,1380.175
2006-06-01,1367.7510000000002
2006-06-02,1323.2310000000002
2006-06-03,1100.889
2006-06-04,955.373
2006-06-05,975.632
2006-06-06,1306.362
2006-06-07,1325.818
2006-06-08,1328.5460000000005
2006-06-09,1311.7839999999999
2006-06-10,1114.5270000000003
2006-06-11,1004.853
2006-06-12,1329.591
2006-06-13,1356.201
2006-06-14,1352.0120000000004
2006-06-15,1140.329
2006-06-16,1254.9540000000004
2006-06-17,1103.6199999999997
2006-06-18,1007.067
2006-06-19,1351.9890000000005
2006-06-20,1369.8549999999998
2006-06-21,1372.4890000000005
2006-06-22,1360.5940000000005
2006-06-23,1316.964
2006-06-24,1114.3859999999997
2006-06-25,1028.869
2006-06-26,1345.3790000000004
2006-06-27,1352.6029999999996
2006-06-28,1340.0420000000001
2006-06-29,1343.6370000000004
2006-06-30,1298.103
2006-07-01,1106.618
2006-07-02,997.8960000000003
2006-07-03,1327.1429999999998
2006-07-04,1356.526
2006-07-05,1377.781
2006-07-06,1377.99
2006-07-07,1360.061
2006-07-08,1138.65
2006-07-09,1018.423
2006-07-10,1335.241
2006-07-11,1360.2079999999996
2006-07-12,1358.226
2006-07-13,1361.493
2006-07-14,1324.4589999999996
2006-07-15,1093.7009999999998
2006-07-16,993.289
2006-07-17,1305.246
2006-07-18,1333.029
2006-07-19,1342.7080000000005
2006-07-20,1351.8229999999999
2006-07-21,1333.344
2006-07-22,1136.6999999999996
2006-07-23,1025.4080000000001
2006-07-24,1330.5569999999998
2006-07-25,1349.825
2006-07-26,1356.6890000000005
2006-07-27,1348.649
2006-07-28,1327.514
2006-07-29,1122.14
2006-07-30,1010.922
2006-07-31,1289.9260000000004
2006-08-01,1303.0479999999998
2006-08-02,1291.2190000000005
2006-08-03,1284.0890000000004
2006-08-04,1262.6449999999998
2006-08-05,1087.245
2006-08-06,994.466
2006-08-07,1268.803
2006-08-08,1286.8389999999995
2006-08-09,1285.66
2006-08-10,1294.0770000000002
2006-08-11,1274.9889999999996
2006-08-12,1088.7089999999996
2006-08-13,985.9589999999997
2006-08-14,1266.8439999999996
2006-08-15,1282.2200000000005
2006-08-16,1292.058
2006-08-17,1298.8369999999995
2006-08-18,1290.8690000000004
2006-08-19,1095.066
2006-08-20,1023.166
2006-08-21,1320.274
2006-08-22,1341.316
2006-08-23,1325.5449999999996
2006-08-24,1330.9239999999998
2006-08-25,1323.755
2006-08-26,1126.495
2006-08-27,1032.3190000000004
2006-08-28,1344.455
2006-08-29,1353.8849999999998
2006-08-30,1373.313
2006-08-31,1347.763
2006-09-01,1339.4679999999996
2006-09-02,1138.742
2006-09-03,1093.767
2006-09-04,1400.634
2006-09-05,1398.368
2006-09-06,1394.28
2006-09-07,1403.4
2006-09-08,1365.0609999999995
2006-09-09,1135.5739999999996
2006-09-10,1047.285
2006-09-11,1379.243
2006-09-12,1396.3030000000006
2006-09-13,1398.3210000000001
2006-09-14,1400.0870000000002
2006-09-15,1397.504
2006-09-16,1188.876
2006-09-17,1064.3529999999996
2006-09-18,1390.8629999999994
2006-09-19,1404.4789999999994
2006-09-20,1386.332
2006-09-21,1385.803
2006-09-22,1380.783
2006-09-23,1175.308
2006-09-24,1069.1750000000004
2006-09-25,1401.0999999999995
2006-09-26,1424.3039999999999
2006-09-27,1417.328
2006-09-28,1401.7309999999998
2006-09-29,1383.458
2006-09-30,1173.1679999999994
2006-10-01,1058.268
2006-10-02,1286.932
2006-10-03,1116.572
2006-10-04,1375.6360000000006
2006-10-05,1397.4590000000005
2006-10-06,1428.592
2006-10-07,1227.91
2006-10-08,1097.087
2006-10-09,1406.128
2006-10-10,1433.5879999999993
2006-10-11,1429.996
2006-10-12,1432.5120000000006
2006-10-13,1426.507
2006-10-14,1203.5259999999996
2006-10-15,1089.6849999999997
2006-10-16,1415.4740000000006
2006-10-17,1445.8819999999994
2006-10-18,1448.5110000000002
2006-10-19,1451.6470000000006
2006-10-20,1434.6660000000006
2006-10-21,1232.3390000000004
2006-10-22,1116.473
2006-10-23,1461.803
2006-10-24,1504.192
2006-10-25,1468.365
2006-10-26,1482.7469999999994
2006-10-27,1476.2720000000004
2006-10-28,1242.024
2006-10-29,1173.7609999999995
2006-10-30,1413.0659999999998
2006-10-31,1460.3989999999994
2006-11-01,1352.658
2006-11-02,1479.071
2006-11-03,1479.8999999999994
2006-11-04,1297.9589999999996
2006-11-05,1242.0639999999999
2006-11-06,1521.545
2006-11-07,1506.6689999999999
2006-11-08,1518.3640000000007
2006-11-09,1557.4110000000005
2006-11-10,1484.2599999999998
2006-11-11,1327.6640000000002
2006-11-12,1226.6420000000005
2006-11-13,1533.554
2006-11-14,1523.361
2006-11-15,1504.3010000000004
2006-11-16,1490.7790000000007
2006-11-17,1478.0950000000007
2006-11-18,1270.7199999999998
2006-11-19,1168.114
2006-11-20,1509.7119999999993
2006-11-21,1521.7780000000007
2006-11-22,1512.51
2006-11-23,1552.044
2006-11-24,1494.0879999999993
2006-11-25,1304.453
2006-11-26,1155.5410000000004
2006-11-27,1486.9589999999996
2006-11-28,1520.421
2006-11-29,1532.7620000000004
2006-11-30,1531.5250000000005
2006-12-01,1518.198
2006-12-02,1332.812
2006-12-03,1214.524
2006-12-04,1548.124
2006-12-05,1569.4800000000002
2006-12-06,1545.3
2006-12-07,1566.1240000000007
2006-12-08,1549.6809999999994
2006-12-09,1305.841
2006-12-10,1194.85
2006-12-11,1578.9830000000006
2006-12-12,1561.264
2006-12-13,1590.0090000000002
2006-12-14,1593.6129999999996
2006-12-15,1543.073
2006-12-16,1349.1809999999996
2006-12-17,1220.1880000000006
2006-12-18,1514.852
2006-12-19,1525.6670000000006
2006-12-20,1527.5929999999996
2006-12-21,1475.71
2006-12-22,1391.5790000000006
2006-12-23,1235.6880000000006
2006-12-24,1099.201
2006-12-25,1072.746
2006-12-26,1075.9220000000003
2006-12-27,1284.6760000000004
2006-12-28,1314.6029999999996
2006-12-29,1274.646
2006-12-30,1237.751
2006-12-31,1144.398
2007-01-01,1128.8429999999996
2007-01-02,1416.669
2007-01-03,1471.586
2007-01-04,1514.8229999999999
2007-01-05,1484.168
2007-01-06,1249.6629999999998
2007-01-07,1173.687
2007-01-08,1510.0130000000006
2007-01-09,1554.889
2007-01-10,1556.1219999999994
2007-01-11,1596.639
2007-01-12,1567.4529999999993
2007-01-13,1350.8860000000004
2007-01-14,1250.781
2007-01-15,1518.88
2007-01-16,1550.7920000000001
2007-01-17,1564.2200000000007
2007-01-18,1544.3240000000005
2007-01-19,1533.3469999999998
2007-01-20,1344.0020000000004
2007-01-21,1257.5210000000004
2007-01-22,1544.1819999999998
2007-01-23,1550.7099999999994
2007-01-24,1582.5379999999998
2007-01-25,1580.2329999999995
2007-01-26,1632.5869999999993
2007-01-27,1392.674
2007-01-28,1321.527
2007-01-29,1564.3830000000007
2007-01-30,1572.6550000000007
2007-01-31,1598.0020000000004
2007-02-01,1531.493
2007-02-02,1523.7810000000006
2007-02-03,1335.6460000000004
2007-02-04,1204.853
2007-02-05,1484.894
2007-02-06,1545.558
2007-02-07,1572.704
2007-02-08,1571.158
2007-02-09,1549.471
2007-02-10,1361.3160000000005
2007-02-11,1215.2850000000005
2007-02-12,1464.0800000000006
2007-02-13,1526.1389999999994
2007-02-14,1529.17
2007-02-15,1512.0
2007-02-16,1485.307
2007-02-17,1302.7399999999998
2007-02-18,1180.3179999999998
2007-02-19,1375.764
2007-02-20,1451.475
2007-02-21,1502.4390000000005
2007-02-22,1484.7690000000002
2007-02-23,1478.8029999999999
2007-02-24,1320.029
2007-02-25,1190.847
2007-02-26,1449.9649999999995
2007-02-27,1510.0689999999993
2007-02-28,1505.4889999999998
2007-03-01,1524.8130000000006
2007-03-02,1508.97
2007-03-03,1278.173
2007-03-04,1138.079
2007-03-05,1487.3329999999999
2007-03-06,1500.4669999999994
2007-03-07,1479.223
2007-03-08,1468.3570000000002
2007-03-09,1453.935
2007-03-10,1256.174
2007-03-11,1128.501
2007-03-12,1413.0700000000006
2007-03-13,1438.8770000000004
2007-03-14,1439.504
2007-03-15,1436.134
2007-03-16,1443.6559999999995
2007-03-17,1322.749
2007-03-18,1245.265
2007-03-19,1489.7949999999994
2007-03-20,1486.9519999999998
2007-03-21,1510.379
2007-03-22,1542.1089999999995
2007-03-23,1517.5289999999993
2007-03-24,1335.889
2007-03-25,1157.5120000000004
2007-03-26,1439.055
2007-03-27,1442.0510000000004
2007-03-28,1442.5230000000006
2007-03-29,1453.7489999999998
2007-03-30,1414.9879999999996
2007-03-31,1232.395
2007-04-01,1116.685
2007-04-02,1394.731
2007-04-03,1447.2900000000006
2007-04-04,1434.4550000000006
2007-04-05,1438.0469999999998
2007-04-06,1108.93
2007-04-07,1119.2979999999998
2007-04-08,1005.062
2007-04-09,1051.4089999999997
2007-04-10,1392.855
2007-04-11,1406.476
2007-04-12,1390.1190000000006
2007-04-13,1374.9830000000006
2007-04-14,1172.1799999999996
2007-04-15,1046.702
2007-04-16,1363.121
2007-04-17,1385.3149999999994
2007-04-18,1410.4509999999998
2007-04-19,1428.7510000000002
2007-04-20,1391.9489999999994
2007-04-21,1164.1530000000002
2007-04-22,1043.9979999999996
2007-04-23,1367.1670000000001
2007-04-24,1392.6459999999993
2007-04-25,1389.0220000000004
2007-04-26,1381.7409999999998
2007-04-27,1362.963
2007-04-28,1165.491
2007-04-29,1036.271
2007-04-30,1221.7340000000004
2007-05-01,981.179
2007-05-02,1323.9400000000005
